RB,,RB2,,Lig,,Jug,,PN,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
597,0.005466219503,597,0.00700752018,597,0.02155064605,597,0.00318691507,597,0.006745502353,
596,0.005729381461,596,0.00730402302,596,0.0216518268,596,0.003247782122,596,0.006786676124,
595,0.005963151343,595,0.00757533405,595,0.02171683311,595,0.003186158836,595,0.006756807677,
594,0.00636460539,594,0.008031992242,594,0.02176641859,594,0.003202326596,594,0.006819176488,
593,0.006712507922,593,0.008424780332,593,0.02180531248,593,0.003213200951,593,0.006729464978,
592,0.007203788962,592,0.008988161571,592,0.02183582634,592,0.00321101048,592,0.006775948685,
591,0.007894921117,591,0.009685661644,591,0.02200086974,591,0.003300754353,591,0.00686445972,
590,0.008555287495,590,0.01045621838,590,0.02215221897,590,0.003352637403,590,0.006902357563,
589,0.009418690577,589,0.01138901897,589,0.02216368914,589,0.003302032361,589,0.006841160357,
588,0.01045969222,588,0.01255278103,588,0.02232111618,588,0.003309753258,588,0.006946439855,
587,0.01171389874,587,0.01386594307,587,0.02240936458,587,0.003356915666,587,0.006943440996,
586,0.01317048073,586,0.01539129298,586,0.02250452898,586,0.003346220125,586,0.006990473717,
585,0.01501453016,585,0.01725526713,585,0.0226111114,585,0.003371211467,585,0.006997734308,
584,0.01702427864,584,0.01938745566,584,0.02266458981,584,0.003345802892,584,0.006950595416,
583,0.01953164302,583,0.02200141549,583,0.02278752625,583,0.003423729213,583,0.007064084057,
582,0.02244970761,582,0.02507533506,582,0.02287234925,582,0.003413371276,582,0.007106840611,
581,0.02604909241,581,0.02873300575,581,0.02302847989,581,0.003408388002,581,0.007082238793,
580,0.0303363055,580,0.03310067207,580,0.02323682234,580,0.003486195114,580,0.007197261788,
579,0.03520457074,579,0.03816358745,579,0.02330515347,579,0.003430408426,579,0.007177786436,
578,0.04110238701,578,0.04427521676,578,0.02350595221,578,0.00354120601,578,0.007308972068,
577,0.04803755879,577,0.05132215843,577,0.02372048423,577,0.003604497993,577,0.007339431439,
576,0.05619410053,576,0.05954325572,576,0.0238093175,576,0.003575943876,576,0.00732913753,
575,0.06573876739,575,0.06929522008,575,0.02397858724,575,0.003616661765,575,0.007313973736,
574,0.07686760277,574,0.08057281375,574,0.024132872,574,0.003641094314,574,0.007393142208,
573,0.09002433717,573,0.09388524294,573,0.02442303859,573,0.003732780926,573,0.007492155768,
572,0.1051128507,572,0.1091431677,572,0.02452354692,572,0.003752337303,572,0.007462686393,
571,0.1225190759,571,0.1267738789,571,0.02480717935,571,0.003830780508,571,0.007566720713,
570,0.1426734477,570,0.147128582,570,0.02504793927,570,0.003867082298,570,0.007600596175,
569,0.1651813537,569,0.1696626991,569,0.02550465986,569,0.004034893587,569,0.007959272712,
568,0.1917211562,568,0.196340546,568,0.02582244761,568,0.004065777641,568,0.007993389852,
567,0.2210799456,567,0.2258290201,567,0.02610819228,567,0.004163669422,567,0.008039401844,
566,0.2535607219,566,0.2585684061,566,0.02641418017,566,0.004132961389,566,0.008081015199,
565,0.2900711298,565,0.295094341,565,0.02675575949,565,0.004178043921,565,0.008141517639,
564,0.3294033408,564,0.3345579505,564,0.02707741037,564,0.004259309266,564,0.008206828497,
563,0.3719592988,563,0.377114594,563,0.02736541815,563,0.004267883487,563,0.008179843426,
562,0.4171855748,562,0.4222282767,562,0.02779681981,562,0.00428926805,562,0.008283442818,
561,0.4646740854,561,0.4695543647,561,0.02809676342,561,0.004288823344,561,0.008256768808,
560,0.5140263438,560,0.5186975598,560,0.02851109207,560,0.004380777478,560,0.008330488577,
559,0.5637149215,559,0.5683569908,559,0.02878671885,559,0.004355832934,559,0.008329089731,
558,0.612817049,558,0.6171623468,558,0.0291672647,558,0.004342053551,558,0.008353076875,
557,0.6605092287,557,0.6645456553,557,0.02953229472,557,0.004370579962,557,0.00837434642,
556,0.7055926323,556,0.7092689276,556,0.02986984886,556,0.004377639852,556,0.008362049237,
555,0.7468367815,555,0.7500408292,555,0.03014783747,555,0.004390060436,555,0.008370836265,
554,0.7830780149,554,0.7859089375,554,0.0303669814,554,0.00446004048,554,0.008402769454,
553,0.8129376173,553,0.8154538274,553,0.03064025939,553,0.004492314998,553,0.008445816115,
552,0.8364337683,552,0.8385081291,552,0.03077328205,552,0.00444769673,552,0.008412851021,
551,0.8525182009,551,0.8542887568,551,0.03099421598,551,0.004542849492,551,0.008494384587,
550,0.861222744,550,0.8626029491,550,0.03103327751,550,0.00444842875,550,0.008409420028,
549,0.8624759316,549,0.8635579348,549,0.03110298701,549,0.004493282642,549,0.008460280485,
548,0.856891036,548,0.8576459885,548,0.03104081191,548,0.004533720203,548,0.008485304192,
547,0.8446080089,547,0.8451858163,547,0.03107442893,547,0.004460642114,547,0.008547472768,
546,0.826418221,546,0.8268814683,546,0.03100122139,546,0.004537827335,546,0.008534906432,
545,0.8036088943,545,0.8040909171,545,0.03093822859,545,0.004534400534,545,0.008546205238,
544,0.7767550349,544,0.7771084309,544,0.03079926409,544,0.004568354227,544,0.008568990044,
543,0.7467824221,543,0.7471390367,543,0.03074666485,543,0.004576097708,543,0.00861234311,
542,0.714773953,542,0.7151985765,542,0.03057667986,542,0.004550644662,542,0.008614086546,
541,0.681337595,541,0.6817798615,541,0.03044296801,541,0.004579551052,541,0.00860085804,
540,0.6473091841,540,0.6479267478,540,0.03032134473,540,0.004569008481,540,0.008595603518,
539,0.6131208539,539,0.6138619781,539,0.03020516597,539,0.004634857643,539,0.008708228357,
538,0.5795839429,538,0.5804784298,538,0.03008788079,538,0.004623424262,538,0.008696608245,
537,0.5471662283,537,0.5480803847,537,0.02999980561,537,0.004619866144,537,0.008670093492,
536,0.516110599,536,0.5173298717,536,0.02986432984,536,0.004676459823,536,0.008732421324,
